search_term,envo_id,envo_term,envThes_uri,envThes_term,Colin's mapping ID,Colin's mapping term,suggested level 1,suggested level 2,comments
agricultural,ENVO_00000077,agricultural ecosystem,http://vocabs.lter-europe.net/EnvThes/21876,agro-ecosystem,,,agricultural,,
agriculture,ENVO_00000077,agricultural ecosystem,http://vocabs.lter-europe.net/EnvThes/21876,agro-ecosystem,,,agricultural,,
alpine,ENVO_01001835,alpine biome,,,,,alpine,,
aquatic,ENVO_01001787,aquatic ecosystem,http://vocabs.lter-europe.net/EnvThes/21786,aquatic ecosystem,,,aquatic,,
atoll,ENVO_00000130,rocky reef,,,,,marine,reef,
barrier island,ENVO_1000751,barrier island,,,,,terrestrial,island,"landform, not an ecosystem"
beach,ENVO_00000091,beach,,,,,coastal,beach,
bog\W,ENVO_00000044,peatland,http://vocabs.lter-europe.net/EnvThes/21798,bog,,,freshwater,wetland,
bogs\W,ENVO_00000044,peatland,http://vocabs.lter-europe.net/EnvThes/21798,bog,,,freshwater,wetland,
catchment,ENVO_00000291,drainage basin,http://vocabs.lter-europe.net/EnvThes/10092,catchment,,,terrestrial,watershed,
chapparel,ENVO_00000301,chaparral area,http://vocabs.lter-europe.net/EnvThes/21772,Chaparral,,,terrestrial,shrubland,
city,ENVO_01000249,urban biome,http://vocabs.lter-europe.net/EnvThes/21893,urban ecosystem,,,terrestrial,urban,
coral,ENVO_00000150,coral reef,http://vocabs.lter-europe.net/EnvThes/21805,coral reef,,,marine,reef,
coral reef,ENVO_00000150,coral reef,http://vocabs.lter-europe.net/EnvThes/21805,coral reef,,,marine,reef,
creek,ENVO_00000023,stream,http://vocabs.lter-europe.net/EnvThes/21796,stream,,,freshwater,stream,
desert,ENVO_01001780,desert ecosystem,http://vocabs.lter-europe.net/EnvThes/21817,desert,,,desert,,
dune,ENVO_00000170,dune,http://vocabs.lter-europe.net/EnvThes/21885,dune,,,terrestrial,dune,
estuaries,ENVO_00000045,estuary,http://vocabs.lter-europe.net/EnvThes/21807,estuary,,,coastal,estuary,
estuarine,ENVO_00000045,estuary,http://vocabs.lter-europe.net/EnvThes/21807,estuary,,,coastal,estuary,
estuary,ENVO_00000045,estuary,http://vocabs.lter-europe.net/EnvThes/21807,estuary,,,coastal,estuary,
fen\W,ENVO_00000232,fen,,,,,freshwater,wetland,
fens\W,ENVO_00000232,fen,,,,,freshwater,wetland,
flood plain,ENVO_00000255,flood plain,http://vocabs.lter-europe.net/EnvThes/21799,floodplain,,,terrestrial,flood plain,
floodplain,ENVO_00000255,flood plain,,,,,terrestrial,flood plain,
forest,ENVO_01001243,forest ecosystem,http://vocabs.lter-europe.net/EnvThes/21829,forest ecosystem,,,terrestrial,forest,
fresh water,ENVO_01001789,freshwater ecosystem,http://vocabs.lter-europe.net/EnvThes/22,freshwater ecosystem,ENVO:01001320,fresh water body,freshwater,,
freshwater,ENVO_01001789,freshwater ecosystem,http://vocabs.lter-europe.net/EnvThes/22,freshwater ecosystem,,,freshwater,,
grassland,ENVO_01001206,grassland ecosystem,http://vocabs.lter-europe.net/EnvThes/21855,grassland,,,terrestrial,grassland,
hammock,ENVO_00000516,hummock,,,no mapping,,polar,,
hummock,ENVO_00000516,hummock,,,no mapping,,polar,,
intertidal,ENVO_01001468,intertidal ecosystem,,,ENVO:00000316,intertidal zone,coastal,intertidal,
lake,ENVO_00000020,lake,http://vocabs.lter-europe.net/EnvThes/20915,lake,ENVO:01000252,freshwater lake biome,freshwater,lake,
mangrove,ENVO_01000181,mangrove biome,http://vocabs.lter-europe.net/EnvThes/21800,mangrove,,,coastal,mangrove,
marine,ENVO_01001788,marine ecosystem,http://vocabs.lter-europe.net/EnvThes/21808,marine ecosystem,,,marine,,
marsh,ENVO_00000035,marsh,http://vocabs.lter-europe.net/EnvThes/21801,marsh,,,freshwater,wetland,
meadow,ENVO_00000108,meadow ecosystem,http://vocabs.lter-europe.net/EnvThes/21858,meadow,,,terrestrial,grassland,
montane,ENVO:01001836,montane biome,http://vocabs.lter-europe.net/EnvThes/21887,montane,,,terrestrial,montane,
ocean,ENVO_00000015,ocean,http://vocabs.lter-europe.net/EnvThes/21811,ocean,ENVO:01000048,ocean biome,ocean,,
ocean current,ENVO_00000147,ocean current,http://vocabs.lter-europe.net/EnvThes/21303,ocean current,no mapping,,ocean,,ecosystem?
peatland,ENVO_00000044,peatland,http://vocabs.lter-europe.net/EnvThes/21803,peatland,,,freshwater,wetland,
playa,ENVO_00000196,alkali flat,http://vocabs.lter-europe.net/EnvThes/21818,playa,ENVO:00000277,dry lake,terrestrial,,
polar,ENVO_01000339,polar biome,,,,,polar,,
pond,ENVO_00000033,pond,http://vocabs.lter-europe.net/EnvThes/21792,pond,,,freshwater,pond,
range land,ENVO_01000247,rangeland biome,,,,,terrestrial,rangeland,
rangeland,ENVO_01000247,rangeland biome,,,,,terrestrial,rangeland,
reef,ENVO_00000130,rocky reef,,,ENVO:00000012,hydrographic feature,marine,reef,
reservoir,ENVO_00000025,reservoir,,,,,freshwater,reservoir,
residential,ENVO_01000249,urban biome,,,,,terrestrial,urban,
river,ENVO_00000022,river,http://vocabs.lter-europe.net/EnvThes/20916,river,ENVO:01000253,freshwater river biome,freshwater,river,
salt marsh,ENVO_00000054,saline marsh,http://vocabs.lter-europe.net/EnvThes/21802,salt marsh,,,coastal,salt marsh,
scrub,ENVO_01000176,shrubland biome,http://vocabs.lter-europe.net/EnvThes/54,heathland and shrub,,,terrestrial,shrubland,
sea\W,ENVO_00000015,ocean,http://vocabs.lter-europe.net/EnvThes/21811,ocean,,,ocean,,
stream,ENVO_00000023,stream,http://vocabs.lter-europe.net/EnvThes/21796,stream,,,freshwater,stream,
terrestrial,ENVO_01001790,terrestrial ecosystem,http://vocabs.lter-europe.net/EnvThes/21891,terrestrial,,,terrestrial,,
thermokarst,ENVO_03000085 ,thermokarst,,,,,polar,,
tidal,ENVO_01001468,intertidal ecosystem,http://vocabs.lter-europe.net/EnvThes/20397,tide,ENVO:01001342,tidal flow process,coastal,intertidal,
tide,ENVO_01001468,intertidal ecosystem,http://vocabs.lter-europe.net/EnvThes/20397,tide,ENVO:01001342,tidal flow process,coastal,intertidal,
tundra,ENVO_01001370,tundra ecosystem,http://vocabs.lter-europe.net/EnvThes/21861,tundra,,,tundra,,
urban,ENVO_01000249,urban biome,http://vocabs.lter-europe.net/EnvThes/21893,urban ecosystem,,,terrestrial,urban,
water column,ENVO_06105011,water column,http://vocabs.lter-europe.net/EnvThes/20924,water column,,,freshwater,,"matrix, not an ecosystem"
watershed,ENVO_00000292,watershed,http://vocabs.lter-europe.net/EnvThes/20534,watershed,,,terrestrial,watershed,
wetland,ENVO_01001209,wetland ecosystem,http://vocabs.lter-europe.net/EnvThes/21797,wetland,,,freshwater,wetland,
