search_term,envo_id,envo_term,envo_comment,envThes_id,envThes_term,envThes_comment,Colin's mapping ID,Colin's mapping term,suggested level 1,suggested level 2,comments
biological events,,,,http://vocabs.lter-europe.net/EnvThes/10065,natural induced event,,no mapping,,,,
bud burst,PO_0025532,bud burst stage,,http://vocabs.lter-europe.net/EnvThes/5,bud burst,,no mapping,,phenological event,bud burst,
burn,ENVO_01000786,fire,,http://vocabs.lter-europe.net/EnvThes/20379,fire,,ENVO:01000839,combustion process,ecosphere event,fire,
clearcut,ENVO_01001435,planned deforestation,,http://vocabs.lter-europe.net/EnvThes/21878,clearcut,landscape element not an action,ENVO:02500005,land degradation,anthropogenic event,clearcut,
debris flow,ENVO_01000698,debri flow,,,,,,,ecosphere event,debri flow,
disturbance,NCIT_C75521,disturbance,,http://vocabs.lter-europe.net/EnvThes/20373,disturbance (event),,disturbance,,ecosphere event,disturbance,
drought,ENVO_1000745,drought,,http://vocabs.lter-europe.net/EnvThes/20375,drought,,,,atmospheric event,drought,
fire,ENVO_01000786,fire,,http://vocabs.lter-europe.net/EnvThes/20379,fire,,,,ecosphere event,fire,
flood,ENVO_01000710,flood,,http://vocabs.lter-europe.net/EnvThes/20383,flood,,,,ecosphere event,flood,
flowering,PO_0007616,flowering stage,,http://vocabs.lter-europe.net/EnvThes/20409,flowering,,no mapping,,phenological event,flowering,
frost,ENVO_01001548,freezing,considered a process,http://vocabs.lter-europe.net/EnvThes/20384,frost,,ENVO:01001850,frost,atmospheric event,frost,
hurricanes,ENVO_01001296,tropical storm,,http://vocabs.lter-europe.net/EnvThes/20385,hurricane,,ENVO:01001297,cyclone,atmospheric event,hurricane,
landslide,ENVO_01000692,landslide process,,,,,ENVO:00000520,landslide,ecosphere event,landslide,
lightning,ENVO_01000898,atmospheric lightning,,http://vocabs.lter-europe.net/EnvThes/20386,lightning,,,,atmospheric event,lightning,
mass movement,,,,,,,,,,,
recruitment,,,,http://vocabs.lter-europe.net/EnvThes/21087,recruitment,considered a process,no mapping,,phenological event,recruitment,
seedling establishment,,,,http://vocabs.lter-europe.net/EnvThes/20410,seedling establishment,,no mapping,,phenological event,seedling establishement,
storm,ENVO_01000876,storm,,http://vocabs.lter-europe.net/EnvThes/20396,storm,,ENVO:01000877,atmospheric storm,atmospheric event,storm,
tide,ENVO_01001342,tidal flow process,,http://vocabs.lter-europe.net/EnvThes/20397,tide,,,,ecosphere event,tide,
timber harvest,,,,http://vocabs.lter-europe.net/EnvThes/20086,harvest,,OBI:0000011,planned process,anthropogenic event,harvest,
wildfire,ENVO_01000787,wildfire,,http://vocabs.lter-europe.net/EnvThes/20382,wildfire,,,,ecosphere event,fire,
