"packageid","title","abstract","new_keywords"
"knb-lter-arc.10004","Above ground plant biomass in a mesic acidic tussock tundra experimental site from 1982 to 2015 Arctic LTER, Toolik Lake, Alaska.","Above ground plant biomass and leaf area were measured in a moist acidic tussock tundra experimental site. The plots were set up in 1981 and have been harvested in periodical (See Shaver and Chapin Ecological Monographs, 61(1), 1991 pp.1-31. Mack, et al, Nature 2004 431:440-443) This file contains the biomass numbers for each harvested quadrat and per cent carbon and nitrogen summaries for harvests through 2000. Leaf area data is presented in other data files (see http://ecosystems.mbl.edu/arc).","biogeochemistry, ecosphere event, plant part, biological process, environmental process, manipulation process, carbon, nitrogen cycle, inorganic matter, nutrient, organic matter, disturbance, leaf, production, disturbance, fertilization, nitrogen, inorganic nutrient, leaf area, primary production"
"knb-lter-arc.10005","Percent C, Percent N and C:N ratio for leaf samples from ITEX flux survey plots for 2003-2004, Toolik Alaska.","Foliar carbon and nitrogen concentrations of the dominant species from within the ITEX flux survey plots 2003-2004. Plots were located in the Toolik Lake LTER moist acidic tussock experiment plots in Alaska; at Imnavait Creek, Alaska.","biogeochemistry, ecology, plant part, carbon, nitrogen cycle, inorganic matter, nutrient, organic matter, biodiversity, leaf, nitrogen, inorganic nutrient"
"knb-lter-arc.10006","Leaf area, biomass, carbon and nitrogen content by species for harvests taken as part of the ITEX flux survey.","Leaf area, biomass, foliar carbon and nitrogen by species for destructive vegetation harvests. Plots were located in the Toolik Lake LTER fertilization experiment in Alaska; at Imnavait Creek, Alaska; at Paddus, Latnjajaure and the Stepps site near Abisko in northern Sweden; and at various sites in Adventdalen, Svalbard, in Zackenberg valley, Northeast Greenland, and at BEO near Barrow, Alaska. Harvests were taken during the growing seasons 2003 to 2009.","biogeochemistry, ecology, community, community, plant part, biological process, manipulation process, carbon, nitrogen cycle, inorganic matter, nutrient, organic matter, biodiversity, vegetation, vegetation, leaf, production, fertilization, nitrogen, inorganic nutrient, vegetation dynammics, leaf area, primary production"
"knb-lter-arc.10007","NDVI, leaf area index and total foliar N of harvests taken during the ITEX flux survey","Leaf area, biomass, foliar carbon and nitrogen by species for destructive vegetation harvests. Plots were located in the Toolik Lake LTER fertilization experiment in Alaska; at Imnavait Creek, Alaska; at Paddus, Latnjajaure and the Stepps site near Abisko in northern Sweden; and at various sites in Adventdalen, Svalbard, in Zackenberg valley, Northeast Greenland and at BEO near Barrow, Alaska. Harvests were taken during the growing seasons 2003 to 2009.","biogeochemistry, ecology, community, community, plant part, biological process, manipulation process, carbon, nitrogen cycle, inorganic matter, nutrient, organic matter, biodiversity, vegetation, vegetation, leaf, production, fertilization, nitrogen, inorganic nutrient, vegetation dynammics, leaf area index, leaf area, primary production"
"knb-lter-arc.10008","List of plant species and species codes for ITEX flux survey","A list of plant species encountered during the ITEX flux survey, with their corrresponding 6 letter codes and functional groups. Research sites were located in the Toolik Lake LTER fertilization experiment in Alaska; at Imnavait Creek, Alaska; at Paddus, Latnjajaure and the Stepps site near Abisko in northern Sweden; at various sites in Adventdalen, Svalbard; in the Zackenberg valley, Northeast Greenland; at BEO near Barrow, Alaska and at the Anaktuvuk River Burn in Alaska. Data was collected during the growing seasons 2003 to 2006.","ecology, ecosphere event, manipulation process, biodiversity, fire, fertilization, species richness"
"knb-lter-arc.10011","Arctic 2006: Relative percent cover was measured for plant species on Arctic LTER experimental plots in moist acidic, dry heath and moist non-acidic tundra, and for Sagavanirktok River plots in tussock and heath tundra.","Relative percent cover was measured for plant species on Arctic LTER experimental plots at Toolik field station in moist acidic and moist non acidic tussock tundra, and dry heath tundra, and on Sagavanirktok River toposequence plots in tussock and heath tundra.","ecology, ecosphere event, environmental process, biodiversity, disturbance, disturbance, abundance, plant cover"
"knb-lter-arc.10012","Relative percent cover was measured for plant species on Arctic LTER experimental plots in moist acidic, dry heath and moist non-acidic tundra, and for Sagavanirktok River plots in tussock and heath tundra, North Slope Alaska 2004.","Relative percent cover was measured for plant species on Arctic LTER experimental plots at Toolik field station in moist acidic and moist non acidic tussock tundra, and dry heath tundra, and on Sagavanirktok River toposequence plots in tussock and heath tundra.","ecology, ecosphere event, environmental process, landform, biodiversity, disturbance, disturbance, hillslope, abundance, plant cover"
"knb-lter-arc.10013","Arctic LTER 2005: Relative percent cover was measured for plant species on Arctic LTER experimental plots in moist acidic, moist non-acidic and dry heath tundra.","Relative percent cover was measured for plant species on Arctic LTER experimental plots at Toolik field station in moist acidic and moist non acidic tussock tundra, and dry heath tundra.","ecology, ecosphere event, environmental process, biodiversity, disturbance, disturbance, abundance, plant cover"
"knb-lter-arc.10017","Hourly weather data from Toolik Field Station, ARC LTER, Alaska for 2007.","Hourly weather data from the Arctic Tundra LTER site at Toolik Lake. The following parameters are measured every minute and averaged or totaled every hour: air temperature and relative humidity at 1 and 5 meters, wind speed at 1 and 5 meters, wind direction at 5 meters, global solar radiation, photosynthetically active radiation, barometric pressure, and unfrozen precipitation.","meteorology, hydrologic process, air, temperature, precipitation, radiation, relative humidity, weather, wind, precipitation, air, air temperature, photosynthetically active radiation, wind speed"
"knb-lter-arc.10018","Soil and canopy temperature data from the Arctic LTER Moist Acidic Tussock Experimental plots for 2007, Toolik Filed Station, North Slope, Alaska.","Soil and canopy temperature data from the LTER Moist Acidic Tussock Experimental plots. In 1989 a treatment plots were established in a moist acidic tundra. Treatments include nitrogen and phosphorus addition, warming with a simple greenhouse, warming with nitrogen and phosphorus addition, shading with shade cloth and shading with nitrogen and phosphorus. In 1990 data logger was installed in block 2 to measure soil temperatures and basic meteorological data. The plots are located on a hillside near Toolik Lake (68 38&#039; N, 149 36&#039;W). Sensors were placed in control, fertilized, greenhouse, greenhouse fertilized, shade house and shade house fertilized sites.","biogeochemistry, meteorology, soil science, device, experiment, community, plant part, manipulation process, landform, layer, nitrogen cycle, phosphorus cycle, temperature, weather, soil temperature, sensor, greenhouse, canopy, wood, fertilization, warming, hillslope, canopy, nitrogen, phosphorus"
