"main","level","term"
"discipline","level_1",""
"discipline","level_1","agriculture"
"discipline","level_1","biogeochemistry"
"discipline","level_1","biogeography"
"discipline","level_1","biology"
"discipline","level_1","climatology"
"discipline","level_1","ecology"
"discipline","level_1","genetics"
"discipline","level_1","geography"
"discipline","level_1","geology"
"discipline","level_1","geomorphology"
"discipline","level_1","history"
"discipline","level_1","hydrology"
"discipline","level_1","management"
"discipline","level_1","meteorology"
"discipline","level_1","oceanography"
"discipline","level_1","phenology"
"discipline","level_1","sociology"
"discipline","level_1","soil science"
"discipline","level_1","taxonomy"
"discipline","level_1","topography"
"discipline","level_2","acretion"
"discipline","level_2","anion"
"discipline","level_2","aquatic ecology"
"discipline","level_2","atmospheric pressure"
"discipline","level_2","bathymetry"
"discipline","level_2","biodiversity"
"discipline","level_2","calcium"
"discipline","level_2","carbon"
"discipline","level_2","cation"
"discipline","level_2","chloride"
"discipline","level_2","chlorophyll"
"discipline","level_2","conductivity"
"discipline","level_2","conservation"
"discipline","level_2","decomposition"
"discipline","level_2","detritus"
"discipline","level_2","discharge"
"discipline","level_2","economy"
"discipline","level_2","erosion"
"discipline","level_2","evaporation"
"discipline","level_2","gene"
"discipline","level_2","genetic"
"discipline","level_2","genomic"
"discipline","level_2","hydrography"
"discipline","level_2","inorganic matter"
"discipline","level_2","intercept"
"discipline","level_2","iron"
"discipline","level_2","isotope"
"discipline","level_2","landcover"
"discipline","level_2","landscape change"
"discipline","level_2","landuse"
"discipline","level_2","landuse history"
"discipline","level_2","light"
"discipline","level_2","magnesium"
"discipline","level_2","methane"
"discipline","level_2","microclimate"
"discipline","level_2","natural history"
"discipline","level_2","nitrogen cycle"
"discipline","level_2","nutrient"
"discipline","level_2","organic matter"
"discipline","level_2","oxygen"
"discipline","level_2","phosphorus cycle"
"discipline","level_2","phylogenetics"
"discipline","level_2","policy"
"discipline","level_2","potassium"
"discipline","level_2","precipitation"
"discipline","level_2","radiation"
"discipline","level_2","relative humidity"
"discipline","level_2","salinity"
"discipline","level_2","sedimentation"
"discipline","level_2","silicon"
"discipline","level_2","snow"
"discipline","level_2","sodium"
"discipline","level_2","soil biogeochemistry"
"discipline","level_2","soil moisture"
"discipline","level_2","soil temperature"
"discipline","level_2","stage height"
"discipline","level_2","sulfur cycle"
"discipline","level_2","temperature"
"discipline","level_2","tracer"
"discipline","level_2","water biogeochemistry"
"discipline","level_2","water level"
"discipline","level_2","weather"
"discipline","level_2","wind"
"ecosystem","level_1",""
"ecosystem","level_1","aquatic"
"ecosystem","level_1","coastal"
"ecosystem","level_1","global"
"ecosystem","level_1","human dominated"
"ecosystem","level_1","terrestrial"
"ecosystem","level_1","tropical"
"ecosystem","level_2","agricultural"
"ecosystem","level_2","beach"
"ecosystem","level_2","benthos"
"ecosystem","level_2","corridor"
"ecosystem","level_2","estuary"
"ecosystem","level_2","flood plain"
"ecosystem","level_2","forest"
"ecosystem","level_2","fragmented"
"ecosystem","level_2","freshwater"
"ecosystem","level_2","grassland"
"ecosystem","level_2","lake"
"ecosystem","level_2","littoral"
"ecosystem","level_2","marine"
"ecosystem","level_2","pond"
"ecosystem","level_2","riparian"
"ecosystem","level_2","road"
"ecosystem","level_2","saline"
"ecosystem","level_2","shrubland"
"ecosystem","level_2","stream"
"ecosystem","level_2","urban"
"ecosystem","level_2","wetland"
"events","level_1",""
"events","level_1","anthropogenic event"
"events","level_1","atmospheric event"
"events","level_1","ecosphere event"
"events","level_1","phenological event"
"events","level_2","clearcut"
"events","level_2","disturbance"
"events","level_2","drought"
"events","level_2","fire"
"events","level_2","flood"
"events","level_2","flowering"
"events","level_2","frost"
"events","level_2","recruitment"
"events","level_2","seedling establishement"
"events","level_2","storm"
"methods","level_1",""
"methods","level_1","device"
"methods","level_1","experiment"
"methods","level_1","field method"
"methods","level_1","model"
"methods","level_1","participatory research"
"methods","level_1","spatial method"
"methods","level_1","survey"
"methods","level_2","animal trap"
"methods","level_2","census"
"methods","level_2","chamber"
"methods","level_2","chronosequences"
"methods","level_2","citizen science"
"methods","level_2","diameter at breast height"
"methods","level_2","field manipulation"
"methods","level_2","geographic information system"
"methods","level_2","greenhouse"
"methods","level_2","hydrography"
"methods","level_2","ice core"
"methods","level_2","imagery"
"methods","level_2","inventory"
"methods","level_2","litterbag"
"methods","level_2","lysimeter"
"methods","level_2","mapping"
"methods","level_2","mesocosm"
"methods","level_2","monitoring"
"methods","level_2","platform"
"methods","level_2","sensor"
"methods","level_2","simulation"
"methods","level_2","soil core"
"methods","level_2","tracer"
"methods","level_2","transect"
"methods","level_2","water sample"
"org_unit","level_1",""
"org_unit","level_1","community"
"org_unit","level_1","ecosystem"
"org_unit","level_1","habitat"
"org_unit","level_1","population"
"org_unit","level_1","species"
"org_unit","level_2","consumer"
"org_unit","level_2","food web"
"org_unit","level_2","herbivore"
"org_unit","level_2","invasive species"
"org_unit","level_2","plant functional types"
"org_unit","level_2","population dynamics"
"org_unit","level_2","predator"
"org_unit","level_2","vegetation"
"organism","level_1",""
"organism","level_1","algae"
"organism","level_1","animal"
"organism","level_1","community"
"organism","level_1","fungus"
"organism","level_1","human"
"organism","level_1","microbe"
